,author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
10224,rihanna,#DiamondBall #PoItUp #Orchestra http://t.co/5BeHMNSQMW,,12/12/2014 09:45,5.43341e+17,und,,,3574,1938
12437,rihanna,“@SoumsluvRiri: You decided what your next single should be already?? @Rihanna *wishes for Stay*” who knows?!,,25/11/2012 21:25,2.72813e+17,en,,,380,635
36842,selenagomez,Back to work tomorrow. Wizards then more studio time ;) getting soooooo pumped for tour this summer.,,03/01/2011 00:52,2.17307e+16,en,,,728,2405
35014,selenagomez,Night time. Surprise Ferris wheel. http://t.co/DlA0y5kQK8,,27/06/2014 23:17,4.82664e+17,en,,,9921,6626
35131,selenagomez,Who doesn't live for a good hair whip http://t.co/uI2Zep1nG3,,21/02/2014 15:49,4.3689e+17,en,,,12382,10439
34910,selenagomez,You guys are so cool,,14/08/2014 09:34,4.99852e+17,en,,,39284,34537
35708,selenagomez,Good day today with @adidasNEOLabel for my fall/winter collection. http://t.co/rilM5rKkC9,,30/04/2013 02:20,3.29058e+17,en,,,22288,20977
46447,shakira,Here's an exclusive pic of Shak chilling during the shoot for the Empire video (http://t.co/Biq3c78tQK) ShakHQ http://t.co/oGytLZtApB,,10/04/2014 17:26,4.54309e+17,en,,,1057,468
47164,shakira,"@blakeshelton Aww thanks Blake, that was a blast! We should form a band called Blakira, you in? Shak",,08/05/2013 21:56,3.32253e+17,en,,,613,390
46640,shakira,!Feliz cumple Gabo! !Te queremos! Shak,,06/03/2014 14:50,4.41587e+17,es,,,1076,593
46233,shakira,Check out the new @TMobile tv spot featuring La La La (Brazil 2014) http://t.co/6JMvfmyRzu ShakiraHQ,,12/06/2014 22:39,4.77219e+17,en,,,892,458
45732,shakira,"Wow, 35 million! Thanks guys! 35 millones! Increíble! Shak http://t.co/2NNBVg9m4u",,11/10/2015 14:18,6.53213e+17,es,,,6428,1867
6098,taylorswift13,On the way home. @karliekloss http://t.co/CDIfFGFoqA,,05/03/2014 19:44,4.41298e+17,en,,,10741,7801
6470,taylorswift13,@1027KIISfm Jingle Ball!!! 🎅🎄✨🎤,,02/12/2012 04:26,2.75093e+17,en,,,1851,2353
6927,taylorswift13,Woah Omaha. That first show was SO much fun and I can't wait to see you again tomorrow!!,,28/05/2011 04:42,7.43347e+16,en,,,956,2216
6497,taylorswift13,"Got a cold. I'm carrying around a box of tissues like it's my new favorite accessory, sneezing excessively, talking like a frog/old man.",,07/11/2012 17:17,2.66228e+17,en,,,7358,10829
6390,taylorswift13,ACM voting for Entertainer of the Year has officially started: let 6-year-old me convince you. http://t.co/NAvRjLs5Ux,,25/03/2013 23:55,3.16337e+17,en,,,15848,13959
